,english,tamil
0,the,தி
1,of,இன்
2,to,க்கு
3,and,மற்றும்
4,a,ஒரு
5,in,இல்
6,for,ஐந்து
7,is,இருக்கிறது
8,the,தி
9,that,அந்த
10,on,மீது
11,said,கூறினார்
12,with,உடன்
13,be,இரு
14,was,இருந்தது
15,by,மூலம்
16,as,போன்ற
17,are,உள்ளன
18,at,மணிக்கு
19,it,அது
20,has,உள்ளது
21,an,ஒரு
22,have,வேண்டும்
23,will,விருப்பம்
24,or,அல்லது
25,its,அதன்
26,he,அவர்
27,not,இல்லை
28,were,இருந்தன
29,which,எந்த
30,this,இந்த
31,but,ஆனாலும்
32,can,முடியும்
33,more,மேலும்
34,his,அவரது
35,been,இருந்திருக்கும்
36,would,என்று
37,about,பற்றி
38,their,தங்கள்
39,also,மேலும்
40,they,அவர்கள்
41,million,மில்லியன்
42,had,இருந்தது
43,than,விட
44,who,யார்
45,in,இல்
46,one,ஒரு
47,you,நீங்கள்
48,new,புதிய
49,a,ஒரு
50,i,நான்
51,other,மற்ற
52,year,ஆண்டு
53,all,அனைத்து
54,two,இரண்டு
55,s,ங்கள்
56,but,ஆனாலும்
57,it,அது
58,company,நிறுவனம்
59,into,ஒரு
60,u,u
61,system,அமைப்பு
62,some,சில
63,when,எப்பொழுது
64,out,வெளியே
65,last,கடந்த
66,only,மட்டுமே
67,after,பிறகு
68,first,முதல்
69,time,நேரம்
70,says,என்கிறார்
71,he,அவர்
72,years,ஆண்டுகள்
73,market,சந்தை
74,no,இல்லை
75,over,மீது
76,we,நாங்கள்
77,could,முடிந்த
78,if,என்றால்
79,people,மக்கள்
80,such,அத்தகைய
81,this,இந்த
82,most,மிகவும்
83,use,பயன்படுத்த
84,any,எந்த
85,data,தகவல்கள்
86,there,அங்கு
87,them,அவர்களுக்கு
88,government,அரசாங்கம்
89,may,மே
90,software,மென்பொருள்
91,so,அதனால்
92,new,புதிய
93,now,இப்போது
94,many,நிறைய
95,program,திட்டம்
96,systems,அமைப்புகள்
97,three,மூன்று
98,do,செய்
99,inc,Inc
100,between,இடையே
101,billion,பில்லியன்
102,what,என்ன
103,through,மூலம்
104,per,ஒன்றுக்கு
105,make,செய்ய
106,before,முன்
107,should,வேண்டும்
108,these,இந்த
109,under,கீழ்
110,made,செய்து
111,corp,கார்ப்பரேஷன்
112,companies,நிறுவனங்கள்
113,much,மிகவும்
114,work,வேலை
115,users,பயனர்கள்
116,officials,அதிகாரிகள்
117,like,போன்ற
118,business,வணிக
119,support,ஆதரவு
120,just,வெறும்
121,each,ஒவ்வொரு
122,those,அந்த
123,her,அவளை
124,well,நன்கு
125,since,முதல்
126,she,அவள்
127,information,தகவல்
128,being,இருப்பது
129,your,உங்கள்
130,products,பொருட்கள்
131,president,தலைவர்
132,share,பங்கு
133,sales,விற்பனை
134,where,எங்கே
135,say,சொல்
136,get,கிடைக்கும்
137,network,பிணையம்
138,against,எதிராக
139,we,நாங்கள்
140,even,கூட
141,if,என்றால்
142,week,வாரம்
143,price,விலை
144,group,குழு
145,way,வழி
146,during,போது
147,state,நிலை
148,still,இன்னும்
149,same,அதே
150,then,பிறகு
151,number,எண்
152,for,ஐந்து
153,they,அவர்கள்
154,our,எங்கள்
155,very,மிகவும்
156,shares,பங்குகள்
157,next,அடுத்த
158,computer,கணினி
159,set,தொகுப்பு
160,applications,பயன்பாடுகள்
161,off,ஆஃப்
162,available,கிடைக்கும்
163,york,யோர்க்
164,how,எப்படி
165,prices,விலை
166,take,எடுத்து
167,him,அவரை
168,american,அமெரிக்க
169,using,பயன்படுத்தி
170,must,வேண்டும்
171,part,பகுதியாக
172,back,மீண்டும்
173,expected,எதிர்பார்க்கப்படுகிறது
174,good,நல்ல
175,stock,பங்கு
176,and,மற்றும்
177,high,உயர்
178,another,மற்றொரு
179,several,பல
180,months,மாதங்கள்
181,end,இறுதியில்
182,report,அறிக்கை
183,ibm,IBM
184,product,தயாரிப்பு
185,industry,தொழில்
186,own,சொந்த
187,four,நான்கு
188,major,முக்கிய
189,need,தேவை
190,power,சக்தி
191,management,மேலாண்மை
192,control,கட்டுப்பாடு
193,did,செய்தது
194,less,குறைவான
195,rate,விகிதம்
196,file,கோப்பு
197,called,என்று
198,united,ஐக்கிய
199,as,போன்ற
200,soviet,சோவியத்
201,there,அங்கு
202,second,இரண்டாவது
203,without,இல்லாமல்
204,want,வேண்டும்
205,day,நாள்
206,found,கண்டறியப்பட்டது
207,month,மாதம்
208,reported,தகவல்
209,see,பார்க்க
210,development,வளர்ச்சி
211,cent,சதவீதம்
212,public,பொது
213,co,இணை
214,money,பணம்
215,case,வழக்கு
216,interest,ஆர்வம்
217,programs,திட்டங்கள்
218,trading,வர்த்தக
219,based,சார்ந்த
220,five,ஐந்து
221,cost,கட்டண
222,days,நாட்களில்
223,large,பெரிய
224,problems,பிரச்சினைகள்
225,too,கூட
226,service,சேவை
227,line,வரி
228,user,பயனர்
229,federal,மத்திய
230,few,சில
231,at,மணிக்கு
232,include,சேர்க்கிறது
233,told,கூறினார்
234,does,செய்யும்
235,going,போகிறது
236,plan,திட்டம்
237,c,இ
238,technology,தொழில்நுட்பம்
239,increase,அதிகரி
240,performance,செயல்திறன்
241,go,செல்ல
242,provide,வழங்கும்
243,might,வலிமையிலும்
244,results,முடிவுகளை
245,offer,சலுகை
246,least,குறைந்தது
247,run,ரன்
248,small,சிறிய
249,current,தற்போதைய
250,windows,ஜன்னல்கள்
251,bush,புஷ்
252,national,தேசிய
253,police,காவல்
254,different,வெவ்வேறு
255,quarter,காலாண்டில்
256,my,என்
257,memory,நினைவக
258,according,படி
259,plans,திட்டங்களை
260,long,நீண்ட
261,around,சுற்றி
262,version,பதிப்பு
263,disk,வட்டு
264,rose,உயர்ந்தது
265,friday,வெள்ளி
266,early,ஆரம்ப
267,problem,பிரச்சனை
268,think,நினைக்கிறேன்
269,president,தலைவர்
270,process,செயல்முறை
271,one,ஒரு
272,services,சேவைகள்
273,costs,செலவுகள்
274,oil,எண்ணெய்
275,home,வீட்டில்
276,area,பகுதியில்
277,higher,அதிக
278,mr,திரு
279,former,முன்னாள்
280,monday,திங்கள்
281,however,எனினும்
282,among,மத்தியில்
283,board,குழு
284,already,ஏற்கனவே
285,announced,அறிவித்தது
286,standard,நிலையான
287,issue,பிரச்சினை
288,rates,விகிதங்கள்
289,tuesday,செவ்வாய்
290,application,விண்ணப்ப
291,within,உள்ள
292,little,சிறிய
293,economic,பொருளாதார
294,when,எப்பொழுது
295,members,உறுப்பினர்கள்
296,office,அலுவலகம்
297,files,கோப்புகளை
298,recent,அண்மையில்
299,states,மாநிலங்களில்
300,wednesday,புதன்
301,better,சிறந்த
302,west,மேற்கு
303,past,கடந்த
304,on,மீது
305,show,நிகழ்ச்சி
306,come,வந்து
307,chief,தலைமை
308,whether,என்பதை
309,that,அந்த
310,pay,செலுத்த
311,change,மாற்றம்
312,know,தெரியும்
313,unit,அலகு
314,six,ஆறு
315,put,வைத்து
316,agreement,ஒப்பந்தம்
317,cents,சென்டுகள்
318,some,சில
319,example,உதாரணமாக
320,department,துறை
321,thursday,வியாழக்கிழமை
322,pounds,பவுண்டுகள்
323,hard,கடின
324,added,சேர்க்கப்பட்டது
325,house,வீட்டில்
326,local,உள்ளூர்
327,law,சட்டம்
328,world,உலக
329,right,வலது
